,Unnamed: 0,address,Total Score,UST_DEPOSITED
236,28577,terra127qa4p5340v7pnwfqq5pmsguyjwjaxp7rrj4gs,12,290.0
237,28772,terra127ywe3zquvp4hee4zw3c8urnqk7uj3pv4hw2qr,30,177.0
238,28793,terra127zyclke4d6x2uzj0j8pnrjxq65ry0qctv5hge,21,53.0
239,28881,terra1284uzgvuwlc0vdsc5j3cgw0qf45ykwc6l5kvw3,13,37.0
240,28898,terra1285rvat7h565g2cl4as25q6c3y5yfn33gcpvaq,7,79.5
241,29060,terra128ddykn6ql53y955cv7tse9f2gdqe75zs83xqj,3,30.0
242,29082,terra128ejcz9c5mxauayda8a0vpf8ensdj2rpz43p9a,14,8053.2
243,29103,terra128f9dqwge593q8fthfrspgrkwjxu6sluv6nu8w,24,58.0
244,29258,terra128n906py60t4swjrhsq0u4g95p3arshtus8c8z,24,240.0
245,29278,terra128p2wvkseukv9xg4rvmk5fv3dpausrsv8fppnh,4,175.0
246,29301,terra128pwjwtxs4rft8l8r88wl5qa8gt2yhxt2g4jty,2,400.0
247,29408,terra128vcs80cgtfdzez5858ga0wjnry0xpn68cd54q,30,135.0
248,29609,terra1295etyk99ra5x3e2suvyp5yv7jd5wcrys9hmc2,27,921.0
249,29637,terra1296uga9vaxr4573zaw65d3dvyp9ea0rxr3yk4g,14,428.0
250,29683,terra1298xwc9mguh3vs3ar00asxq07h8p6k77jc9502,30,444.0
251,29799,terra129etxfnerdefcclwqw5kc02v8z0689hlt937ke,26,230.0
252,29881,terra129jk7nkptzcnmsdr6cxa6zu9mm8lgnvwfrlmpa,17,17.0
253,29910,terra129kdy7qdk5r4qgrenqdd6ftjjuvcc3hqsy0fgt,26,100.0
254,29966,terra129n3pj9we3pt4ml87e80g3d2ujf00qh8grhfnk,22,657.817
255,30002,terra129ptxmdulh6hh0x34pquawu84npx4wgh6d3qm3,2,295.0
256,30058,terra129s4fwqjkaantx4rtptuaygf6pjclevgheqr0w,2,94.0
257,30165,terra129wnsm2q8xy3dps3a4k9aflx488aeqa5n5u7xy,30,1168.0
258,30482,terra12ac7gl6zs6k02qvr0le9mkdky89pmfzdm0qyzq,13,463.0
259,30523,terra12ae98kcahp3e2dltc0470xf3tw59wxkrjwnd8p,7,80.0
260,30734,terra12apse7j29wtn6xxsdxftlksjtuc3vf0yu3522x,1,10.06
261,30778,terra12arel0nqev2je53hzxctu338ttx9akegkcdzzy,7,23.0
262,30830,terra12au7zk3fxamu2rfe35nqgu9a6ckhz3x0esv8x0,4,291.0
263,30869,terra12avt8tvvkdd4ner2g9t0uv5rcyj85k0dzaxf34,30,8.0
264,30910,terra12axq40xezakuam8nsxgykum3k3ya2p0dteq6q4,17,8.0
265,30923,terra12ayg0q789ppd08040mczhlg0tferuu7avv6guk,2,316.53
266,31078,terra12c6ddlsaccquqn88ct9es4kkd6w8gelr9l2c9x,4,30.0
267,31165,terra12cc20mp9amdgl650tydc73h34k98g5n5furtgx,11,308.0
268,31166,terra12cc29jj7kzzjzjp7ethregyjeh24ght45d4zzf,2,132.32999999999998
269,31898,terra12dclkmtv9g0ps7t4rwv4lwwtvxtrmp6plcjwkq,18,293.0
270,32072,terra12dkfpgardecach5ycmj5ppcgrx08vs0nesl89n,4,239.0
271,32113,terra12dm0svdnrug5duph8yar892dz60xrjh9vfcsvd,13,202.0
272,32379,terra12dyfrgl4xdcz6tqc7ddw07m4ms7xve5dgl6ex7,6,41.0
